id,text,label,label_id,split
1,今日はフィギュアスケートの道具を買い替えたい。無理なく長く続けたい。,スポーツ,3,train
2,来月に向けて、セキュリティを自作してみたい。,IT・テクノロジー,0,train
3,朝からテニスを練習している。次の試合も楽しみにしている。,スポーツ,3,test
4,最近、味噌汁がおいしかったのでメモしておいた。,食事・料理,1,train
5,セキュリティの性能を比較したい。,IT・テクノロジー,0,validation
6,今週は中央銀行が企業業績に与える影響を調べた。,金融・経済,4,train
7,トレーニングを週末に楽しんでいるので情報を集めている。,スポーツ,3,test
8,今週はランニングの結果を確認した。もっと上達する方法を探している。,スポーツ,3,train
9,昨日、唐揚げを冷凍保存したいのでメモしておいた。,食事・料理,1,train
10,朝からサラダのカロリーが気になる。家族にも好評な味にしたい。,食事・料理,1,train
11,家で新幹線へ週末に出かけるので情報を集めている。,旅行・観光,2,train
12,昨日、寺でお土産を買いたいので詳しく調べている。,旅行・観光,2,train
13,来月に向けて、ボクシングを友人とプレーした。無理なく長く続けたい。,スポーツ,3,train
14,ネットでお土産で泊まりたい。,旅行・観光,2,train
15,昨日、パスタを食べ比べたい。家族にも好評な味にしたい。,食事・料理,1,train
16,家でTOPIXが上がっている。,金融・経済,4,train
17,最近、Windowsの設定を見直したい。新しい機能も試してみたい。,IT・テクノロジー,0,test
18,仕事の合間にシーフードを昼ごはんに食べた。,食事・料理,1,test
19,昨日、Linuxを高速化したい。,IT・テクノロジー,0,train
20,友人と話していて、サッカーを観戦したい。,スポーツ,3,train
21,朝からプロ野球の道具を買い替えたい。,スポーツ,3,train
22,少し前からチームを毎週続けている。選手のプレーを参考にしたい。,スポーツ,3,train
23,ふと思って、モニターでエラーが出た。新しい機能も試してみたい。,IT・テクノロジー,0,train
24,最近、原油価格の動向に注目している！,金融・経済,4,train
25,今日は大阪へ連休に行く予定だ！,旅行・観光,2,train
26,最近、ボクシングのルールを調べているので情報を集めている。,スポーツ,3,train
27,家でファイアウォールの構成を考えている！,IT・テクノロジー,0,train
28,来月に向けて、新幹線を観光したい。移動時間をなるべく短くしたい。,旅行・観光,2,test
29,来月に向けて、モニターを接続したい。,IT・テクノロジー,0,train
30,ネットで展望台へ新幹線で行く。現地のおいしいものも楽しみたい。,旅行・観光,2,train
31,家でボクシングの戦術を分析したいので情報を集めている。,スポーツ,3,train
32,少し前からLinuxについて調べている！,IT・テクノロジー,0,train
33,休日にAIがほしい。,IT・テクノロジー,0,train
34,仕事の合間に博物館でお土産を買いたい,旅行・観光,2,train
35,休日にNBAを毎週続けているので情報を集めている。,スポーツ,3,train
36,来月に向けて、Webアプリを業務に活用したい。,IT・テクノロジー,0,train
37,今週はVS Codeでツールを作りたい。,IT・テクノロジー,0,test
38,来月に向けて、鍋料理の店を探している！,食事・料理,1,train
39,ネットでレストランを食べたい。家族にも好評な味にしたい。,食事・料理,1,train
40,資産運用について基本から学びたい。長期的な傾向を見て判断したい。,金融・経済,4,train
41,仕事の合間にネットワークのログを確認している。,IT・テクノロジー,0,train
42,休日に日本銀行の見通しを確認している。リスクとリターンの両方を考えたい。,金融・経済,4,train
43,ふと思って、資産運用を資産形成に活用したいので情報を集めている。,金融・経済,4,train
44,今週は観光地への交通費を調べている。混雑を避けて回りたい。,旅行・観光,2,validation
45,家で得点が上手くなりたい。,スポーツ,3,train
46,今週はクレジットカードについて家計への影響を確認したのが最近の関心事だ。,金融・経済,4,validation
47,休日に政策金利の予測を確認していると思っている。,金融・経済,4,train
48,ふと思って、投資信託の動向に注目している。数字の背景も理解したい。,金融・経済,4,test
49,友人と話していて、札幌で写真を撮りたいと思っている。,旅行・観光,2,train
50,友人と話していて、ホームランで記録を伸ばしたいと思っている。,スポーツ,3,train
51,ルーターでエラーが出たのが最近の関心事だ。,IT・テクノロジー,0,train
52,昨日、中央銀行を資産形成に活用したいのでメモしておいた。,金融・経済,4,train
53,少し前から広島へ新幹線で行く,旅行・観光,2,train
54,Windowsをアップデートしたい。,IT・テクノロジー,0,train
55,友人と話していて、レストランを昼ごはんに食べた。休日にゆっくり楽しみたい。,食事・料理,1,train
56,ネットでバレーの練習試合に参加した,スポーツ,3,test
57,仕事の合間にトーナメントで体を動かしたい。,スポーツ,3,train
58,ふと思って、博物館でお土産を買いたいと思っている。,旅行・観光,2,train
59,ふと思って、Linuxの使い方を知りたい。できれば使いやすいものを選びたい。,IT・テクノロジー,0,train
60,今日は卓球の試合を見たので詳しく調べている。,スポーツ,3,validation
61,昨日、デフレについて経済指標を見ている。リスクとリターンの両方を考えたい。,金融・経済,4,train
62,最近、親子丼を簡単に作りたい。休日にゆっくり楽しみたい。,食事・料理,1,train
63,朝から博物館へ一人旅したい。家族でも楽しめる場所がいい。,旅行・観光,2,train
64,少し前から水族館の宿泊費を比較している。現地のおいしいものも楽しみたい。,旅行・観光,2,train
65,休日に絶景スポットをレンタカーで巡りたい。,旅行・観光,2,train
66,今日はキャンプ場の混雑状況が気になる。宿泊先の評判も確認している。,旅行・観光,2,train
67,昨日、お土産を家族で訪れたい。混雑を避けて回りたい。,旅行・観光,2,train
68,ネットでゲーミングPCを開発している,IT・テクノロジー,0,train
69,ケーキを家族と食べたい。辛さは控えめにしたい。,食事・料理,1,train
70,朝からSQLについて学習中だ。速度と安定性を重視している。,IT・テクノロジー,0,train
71,昨日、ピザをもう一度食べたい。辛さは控えめにしたい。,食事・料理,1,train
72,魚料理を食べ比べたい！,食事・料理,1,train
73,フォームの選手を応援している,スポーツ,3,train
74,AWSを買い替えたい。仕事でも使える構成にしたい。,IT・テクノロジー,0,train
75,ネットで唐揚げを冷凍保存したい。,食事・料理,1,validation
76,今週はピザに野菜を追加したい。辛さは控えめにしたい。,食事・料理,1,train
77,最近、消費税を家計簿と一緒に確認している。長期的な傾向を見て判断したい。,金融・経済,4,train
78,朝から機械学習を業務に活用したい。新しい機能も試してみたい。,IT・テクノロジー,0,train
79,そばを手作りした。,食事・料理,1,validation
80,ふと思って、マウスを自動化に使いたい。速度と安定性を重視している。,IT・テクノロジー,0,train
81,少し前から那覇を家族で訪れたいのが最近の関心事だ。,旅行・観光,2,train
82,休日に自転車競技を週末に楽しんでいる。,スポーツ,3,train
83,昨日、刺身を注文したと考えている。,食事・料理,1,train
84,ふと思って、原油価格を家計簿と一緒に確認している。短期的な変動だけで判断しないようにしたい。,金融・経済,4,train
85,最近、マラソンの試合を見た。体力づくりにも役立てたい。,スポーツ,3,validation
86,朝からうどんを友人と食べに行くと考えている。,食事・料理,1,train
87,最近、山へ行きたい。宿泊先の評判も確認している。,旅行・観光,2,train
88,今日は企業業績が生活費に響いているのが最近の関心事だ。,金融・経済,4,train
89,サッカーの練習メニューを考えている,スポーツ,3,train
90,友人と話していて、大会のルールを調べている！,スポーツ,3,test
91,友人と話していて、観光バスから帰ってきたと思っている。,旅行・観光,2,validation
92,ネットで飛行機で食べ歩きしたい！,旅行・観光,2,train
93,来月に向けて、配当を毎日チェックしている。複数の情報源を比較している。,金融・経済,4,train
94,仕事の合間に経済ニュースの変化が気になっているので詳しく調べている。,金融・経済,4,validation
95,朝からキーボードを業務に活用したいので詳しく調べている。,IT・テクノロジー,0,train
96,ふと思って、レスリングの結果を確認したと考えている。,スポーツ,3,validation
97,今週は柔道のプロ選手を目指している。無理なく長く続けたい。,スポーツ,3,train
98,ネットでオリンピックを週末に楽しんでいると考えている。,スポーツ,3,train
99,家でバックアップを仕事で使いたい。,IT・テクノロジー,0,train
100,友人と話していて、札幌の旅行プランを作っている。家族でも楽しめる場所がいい。,旅行・観光,2,train
101,仕事の合間にサーバーの性能を比較したい。,IT・テクノロジー,0,validation
102,ふと思って、マラソンの大会をテレビで見たのでメモしておいた。,スポーツ,3,train
103,来月に向けて、大阪の旅館を予約したい,旅行・観光,2,train
104,昨日、年金の変化が気になっていると思っている。,金融・経済,4,train
105,少し前から体操の練習メニューを考えている,スポーツ,3,test
106,家で大会のプロ選手を目指している。,スポーツ,3,train
107,ネットで函館のおすすめルートを知りたい。交通費を抑えたプランにしたい。,旅行・観光,2,train
108,VS Codeを自作してみたい。新しい機能も試してみたい。,IT・テクノロジー,0,train
109,友人と話していて、試合のチームに入りたい。選手のプレーを参考にしたい。,スポーツ,3,train
110,来月に向けて、プロ野球を観戦したい。選手のプレーを参考にしたい。,スポーツ,3,train
111,ふと思って、メモリを開発している。できれば使いやすいものを選びたい。,IT・テクノロジー,0,train
112,仕事の合間にラーメンのレシピを探している。できれば簡単に作れる方法がいい。,食事・料理,1,train
113,朝から山をレンタカーで巡りたいので情報を集めている。,旅行・観光,2,train
114,昨日、水泳の大会をテレビで見たので詳しく調べている。,スポーツ,3,validation
115,今週は国内旅行で泊まりたい。家族でも楽しめる場所がいい。,旅行・観光,2,train
116,来月に向けて、株式の仕組みを知りたいので詳しく調べている。,金融・経済,4,train
117,休日に卓球を週末に楽しんでいる,スポーツ,3,train
118,ふと思って、プリンを手作りした。,食事・料理,1,train
119,レンタカーの景色を見たい,旅行・観光,2,train
120,ふと思って、餃子の材料を買ってきた。,食事・料理,1,train
121,最近、牛丼を朝食に用意した。家族にも好評な味にしたい。,食事・料理,1,train
122,休日にキャンプ場で温泉に入りたいと思っている。,旅行・観光,2,train
123,来月に向けて、レストランのおすすめを知りたい。,食事・料理,1,train
124,昨日、利益について家計への影響を確認した。,金融・経済,4,train
125,ふと思って、Copilotでエラーが出た。予算と性能のバランスも気になる。,IT・テクノロジー,0,train
126,休日にリーグ戦のプロ選手を目指している。,スポーツ,3,train
127,ふと思って、ランチをテイクアウトしたい。辛さは控えめにしたい。,食事・料理,1,train
128,家でVPNを買い替えたい。,IT・テクノロジー,0,train
129,ゲーミングPCを新しくしたい。,IT・テクノロジー,0,train
130,少し前からゲーミングPCの容量を増やしたい。,IT・テクノロジー,0,train
131,少し前から所得税の動きを確認しているので詳しく調べている。,金融・経済,4,train
132,昨日、SSDを自動化に使いたいので情報を集めている。,IT・テクノロジー,0,train
133,ふと思って、たこ焼きのおすすめを知りたい。できれば簡単に作れる方法がいい。,食事・料理,1,train
134,来月に向けて、調味料を辛めに作りたいので詳しく調べている。,食事・料理,1,test
135,休日に為替レートについて勉強している。,金融・経済,4,validation
136,朝から筋肉を練習している。基礎からフォームを見直したい。,スポーツ,3,train
137,家でうどんに合う調味料を知りたい。,食事・料理,1,train
138,昨日、PCを仕事で使いたい。新しい機能も試してみたい。,IT・テクノロジー,0,train
139,家で大会のスタジアムへ行きたいので詳しく調べている。,スポーツ,3,train
140,昨日、温泉街をレンタカーで巡りたい。,旅行・観光,2,train
141,昨日、利益についてデータを集めている。,金融・経済,4,train
142,少し前からデフレを長期的に見ていると考えている。,金融・経済,4,train
