id,text,label,sentiment,domain,split
1,スポーツ映画は声優に少し不満があったが、迫力は良く、総合的には満足している。,1,高評価,映画,validation
2,バッテリー持ちが素晴らしく、さらにサイズ感にも満足した。組み立て家具をまた選びたい。,1,高評価,EC商品,train
3,カプセルホテルは高くないわけではないが、防音を考えると納得できる。,1,高評価,ホテル,train
4,歴史映画はアクションに少し不満があったが、会話は良く、総合的には満足している。,1,高評価,映画,train
5,席の広さは魅力的だったが、待ち時間がかなり残念で、全体としては満足できなかった。,0,低評価,飲食店,train
6,何度か利用してみた。チャットアプリはバッテリー消費に少し不満があったが、通知機能は良く、総合的には満足している。,1,高評価,アプリ,train
7,検索機能は少し悪かったものの、アップデートが期待以上だったので天気アプリには高評価を付けたい。,1,高評価,アプリ,train
8,実際に使ってみると、接続の安定性が想像より悪く、バッグには低評価を付けたい。,0,低評価,EC商品,train
9,ビジネスホテルは期待外れ。防音とフロント対応のどちらも使いにくく、がっかりした。,0,低評価,ホテル,train
10,声優には満足したものの、ラストが期待外れだったので歴史映画には低評価を付けたい。,0,低評価,映画,train
11,観光ホテルは部屋の清潔さに良い点もあった。しかしチェックアウトに問題があり、結果的にはおすすめしにくい。,0,低評価,ホテル,train
12,期待して購入した。SF映画は音楽が安定していて、ストレスなく使えた。,1,高評価,映画,train
13,一週間ほど試した。家計簿アプリは期待外れ。読み込み速度と同期機能のどちらも使いにくく、がっかりした。,0,低評価,アプリ,test
14,静かさは予想以上だったが、そのほかはチェックアウトが使いにくく不満が残った。,0,低評価,ホテル,train
15,スポーツ映画は余韻が良く、かなり満足している。,1,高評価,映画,train
16,今回初めて利用した。脚本は少し悪かったものの、世界観が期待以上だったのでアニメ映画には高評価を付けたい。,1,高評価,映画,train
17,デザートが素晴らしく、さらに料理の味にも満足した。そば屋をまた選びたい。,1,高評価,飲食店,train
18,ネジ穴の精度が想像より良く、パソコンには高評価を付けたい。,1,高評価,EC商品,train
19,ドリンクが想像より良く、寿司店には高評価を付けたい。,1,高評価,飲食店,train
